Edible,Color,Shape,Surface
P,RedOrange,Bellshaped,Smooth
P,Orange,Flat,Smooth
E,Red,Convex,Fibrous
E,Red,Conical,Smooth
I,YellowOrange,Conical,Smooth
E,RedOrange,Convex,Smooth
P,Brown,Conical,Fibrous
E,Red,Convex,Smooth
P,Orange,Depressed,Silky
P,OrangeBrown,Funnelshaped,Smooth
E,BrownGray,Convex,Smooth
E,Brown,Flat,Smooth
E,BrownDark,Depressed,Smooth
E,WhiteYellow,Flat,Smooth
E,White,Depressed,Silky
I,WhitePink,Flat,Smooth
E,Brown,Depressed,Smooth
E,BrownGray,Convex,Smooth
E,Yellow,Conical,Smooth
E,GrayDark,Convex,Smooth
E,Brown,Depressed,Smooth
P,BrownGray,Flat,Smooth
E,Brown,Knobbed,Smooth
E,BrownGray,Conical,Smooth
E,Pale,Flat,Smooth
E,PaleTan,Bellshaped,Smooth
E,BrownGray,Bellshaped,Smooth
E,RedPink,Depressed,Smooth
P,Brown,Corticioid,Smooth
P,Brown,Corticioid,Velvety
E,Brown,Flat,Smooth
P,Yellow,CupFungi,Smooth
P,FlatDepressed,Smooth,
E,Brown,Bellshaped,Smooth
P,Yellow,Flat,Smooth
E,RedPink,Convex,Fibrous
I,Red,Convex,Smooth
E,Orange,Funnelshaped,Smooth
E,WhiteTan,Convex,FlatScales
E,White,Convex,Smooth
E,White,Stinkhorns,
P,White,Stinkhorns,
E,Brown,Bolete,Silky
I,Red,Convex,Velvety
E,White,Funnelshaped,Smooth
E,Tan,Funnelshaped,Smooth
P,Orange,Bellshaped,Smooth
P,White,Bellshaped,Silky
P,DarkBrown,Bellshaped,RaisedScales
P,Brown,Depressed,Fibrous
P,Brown,Flat,Smooth
P,YellowBrown,Knobbed,Silky
E,Brown,Shellshaped,Velvety
E,Dark,Polypore,
P,BrownYellow,Shellshaped,Velvety
I,White,Corticioid,
E,Brown,Shellshaped,Velvety
E,Brown,Truffles,
P,Gray,Corticioid,Velvety
E,Yellow,Flat,Smooth
E,Purple,Depressed,Silky
E,BrownPale,Depressed,Smooth
P,RedBrown,Depressed,Smooth
E,Brown,Flat,Smooth
E,Orange,Flat,Smooth
E,PinkBrown,Depressed,Smooth
I,Yellow,CupFungi,Hairy
E,YellowBrown,Bellshaped,Fibrous
P,Lilac,Depressed,Smooth
I,Gray,Depressed,Smooth
E,Brown,Depressed,Smooth
P,PalePink,Depressed,Smooth
I,White,Funnelshaped,Smooth
E,Orange,Depressed,Smooth
E,Yellow,Depressed,Smooth
P,Yellow,Depressed,Smooth
P,Brown,Flat,Smooth
P,RedYellow,Depressed,Smooth
E,Pink,Depressed,Smooth
P,Brown,Depressed,Smooth
E,Blue,Funnelshaped,Smooth
E,Dark,Depressed,Silky
P,PaleYellow,Depressed,Fibrous
P,Gray,Depressed,Fibrous
E,PaleTan,Depressed,Smooth
E,Pale,Depressed,Smooth
E,White,Depressed,Smooth
E,Orange,Depressed,Smooth
P,Orange,Funnelshaped,Smooth
P,White,Depressed,Fibrous
I,PaleGray,Depressed,Smooth
E,Brown,Depressed,Smooth
P,Yellow,Depressed,Fibrous
E,Brown,Funnelshaped,Smooth
E,Brown,Depressed,Smooth
E,Orange,Depressed,Smooth
I,Pale,Depressed,Hairy
I,Yellow,Depressed,Fibrous
E,OrangeGreen,Depressed,Patches
I,Brown,Depressed,Smooth
E,Pink,Depressed,RaisedScales
E,Brown,Depressed,Smooth
I,Orange,Depressed,Smooth
P,Pink,Depressed,Fibrous
I,BrownDark,Depressed,Smooth
P,PaleLilac,Depressed,Smooth
I,White,Depressed,Silky
I,Pale,Depressed,Smooth
E,Brown,Depressed,Smooth
E,Flat,Hairy,
E,Orange,Shellshaped,Velvety
I,Brown,CupFungi,
E,YellowBrown,Bolete,FlatScales
E,Pale,Bolete,FlatScales
E,Brown,Bolete,Silky
E,Brown,Bolete,Velvety
E,BrownPale,Bolete,Silky
E,White,Convex,Smooth
E,Brown,Bolete,
E,Brown,Bolete,Silky
E,Brown,Bolete,Silky
E,Dark,Convex,Silky
E,OrangeBrown,Convex,Smooth
E,BrownRed,Convex,Silky
E,Brown,Funnelshaped,Smooth
P,Brown,Shellshaped,Velvety
E,BrownTan,Convex,
I,Brown,Depressed,FlatScales
E,Purple,Shellshaped,RaisedScales
E,TanBrown,Depressed,FlatScales
,YellowRed,,
I,Yellow,JellyFungi,Smooth
P,BrownPale,Flat,FlatScales
P,Brown,Bellshaped,Patches
P,WhiteBrown,Flat,Hairy
P,WhiteBrown,Conical,FlatScales
P,WhiteBrown,Flat,FlatScales
I,White,Convex,Fibrous
P,YellowBrown,Flat,Fibrous
P,Brown,Convex,FlatScales
E,WhitePale,Convex,Smooth
P,WhiteGray,Flat,Smooth
E,BrownPurple,Convex,Silky
E,VioletTan,Knobbed,Smooth
I,RedOrange,Bellshaped,Patches
P,Red,Bellshaped,Smooth
I,Orange,Convex,Patches
E,Dark,Truffles,
P,Gray,Bellshaped,Smooth
I,Yellow,Conical,Fibrous
P,WhiteGray,Flat,FlatScales
E,White,Bellshaped,Patches
I,Brown,Convex,Smooth
E,White,Funnelshaped,Smooth
E,Brown,Flat,Smooth
E,Brown,Flat,Fibrous
P,YellowTan,Depressed,Smooth
P,White,Convex,Smooth
,PinkRed,,
E,Brown,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
I,White,Puffballs,Patches
P,Brown,Puffballs,RaisedScales
E,White,Puffballs,RaisedScales
